timestamp,cpu,gpu
20:38:17,67.1,29
20:38:19,78.9,29
20:38:21,73.6,30
20:38:23,78.1,31
20:38:25,81.5,30
20:38:27,69.2,27
20:38:29,77.7,27
20:38:31,72.7,26
20:38:33,76.4,27
20:38:35,74.8,35
20:38:37,59.6,30
20:38:39,58.3,35
20:38:41,64.8,32
20:38:43,64.9,34
20:38:45,71.2,25
20:38:47,53.4,24
20:38:49,48.6,22
20:38:51,58.9,26
20:38:53,54.1,29
20:38:55,50.5,26
20:38:57,39.4,23
20:38:59,62.1,23
20:39:01,49.3,21
20:39:03,54.2,21
20:39:05,42.5,23
20:39:07,44.6,25
20:39:09,39.6,20
20:39:11,36.2,26
20:39:13,40.1,25
20:39:15,35.5,25
20:39:17,57.7,25
20:39:19,65.0,24
20:39:21,56.2,28
20:39:23,53.9,28
20:39:25,71.7,28
20:39:27,65.2,20
20:39:29,70.7,20
20:39:31,68.3,20
20:39:33,51.0,18
20:39:35,64.0,20
20:39:37,44.0,25
20:39:39,42.9,24
20:39:41,44.2,22
20:39:43,39.2,28
20:39:45,45.5,25
20:39:47,40.0,27
20:39:49,57.9,32
20:39:51,55.3,32
20:39:53,64.7,28
20:39:55,58.9,27
20:39:57,63.4,31
20:39:59,88.3,24
20:40:01,59.4,22
20:40:03,46.3,23
20:40:05,67.0,21
20:40:07,40.8,20
20:40:09,44.6,21
20:40:11,34.6,20
20:40:13,33.0,19
20:40:15,41.9,20
20:40:17,35.2,19
20:40:19,44.6,19
20:40:21,36.5,21
20:40:23,34.8,20
20:40:25,48.1,22
20:40:27,41.3,22
20:40:29,43.9,23
20:40:31,48.3,22
20:40:33,42.5,20
20:40:35,36.4,23
20:40:37,48.5,28
20:40:39,44.5,22
20:40:41,44.4,21
20:40:43,47.9,21
20:40:45,37.3,29
20:40:47,43.8,28
20:40:49,46.2,28
20:40:51,39.0,27
20:40:53,35.9,26
20:40:55,36.0,26
20:40:57,71.2,28
20:40:59,100.0,30
20:41:01,68.6,29
20:41:03,42.9,28
20:41:05,42.6,28
20:41:07,50.4,28
20:41:09,41.1,27
20:41:11,40.3,31
20:41:13,65.3,30
20:41:15,36.3,31
20:41:17,44.6,32
20:41:19,49.2,33
20:41:21,43.2,39
20:41:23,61.1,37
20:41:25,73.2,33
20:41:27,57.8,35
20:41:29,50.3,31
20:41:31,48.4,34
20:41:33,42.3,34
20:41:35,54.4,34
20:41:37,51.4,33
20:41:39,48.7,27
20:41:41,55.4,24
20:41:43,51.6,29
20:41:45,60.2,30
20:41:47,84.0,27
20:41:49,75.4,38
20:41:51,75.8,34
20:41:53,87.9,37
20:41:55,76.7,35
20:41:57,66.0,26
20:41:59,88.5,37
20:42:01,85.6,34
20:42:03,52.4,29
20:42:05,39.0,27
20:42:07,45.7,29
20:42:09,52.2,25
20:42:11,57.6,31
20:42:13,45.7,37
20:42:15,55.5,35
20:42:17,34.5,23
20:42:19,59.1,25
20:42:21,50.7,25
20:42:23,44.3,26
20:42:25,49.4,30
20:42:27,47.8,35
20:42:29,57.8,32
20:42:31,44.1,29
20:42:33,59.6,29
20:42:35,64.3,31
20:42:37,52.8,30
20:42:39,64.5,34
20:42:41,47.5,38
20:42:43,52.3,41
20:42:45,57.6,26
20:42:47,50.6,29
20:42:49,65.9,25
20:42:51,61.8,35
20:42:53,72.2,30
20:42:55,82.1,34
20:42:57,77.7,43
20:42:59,56.5,44
20:43:01,74.3,37
20:43:03,72.6,29
20:43:05,62.5,33
20:43:07,74.7,34
20:43:09,74.4,33
20:43:12,76.3,33
20:43:14,66.5,38
20:43:16,51.3,16
20:43:18,46.2,0
20:43:20,46.6,0
20:43:22,64.7,0
20:43:24,77.5,0
20:43:26,68.1,0
20:43:28,73.2,0
20:43:30,50.7,0
20:43:32,57.3,2
20:43:34,68.2,8
20:43:36,58.0,1
20:43:38,59.8,10
20:43:40,66.7,20
20:43:42,32.6,24
20:43:44,33.8,23
20:43:46,44.1,23
20:43:48,31.8,23
20:43:50,44.6,23
20:43:52,42.5,23
20:43:54,86.6,23
20:43:56,95.5,23
20:43:58,61.6,22
20:44:00,81.5,22
20:44:02,88.8,23
20:44:04,53.8,23
20:44:06,60.9,23
20:44:08,44.3,22
20:44:10,41.2,22
20:44:12,45.2,22
20:44:14,28.2,23
20:44:16,32.9,22
20:44:18,27.6,23
20:44:20,31.5,18
20:44:22,31.5,25
20:44:24,32.5,26
20:44:26,29.5,25
20:44:28,30.4,24
20:44:30,39.8,25
20:44:32,37.7,22
20:44:34,85.1,18
20:44:36,35.8,30
20:44:38,51.7,25
20:44:40,40.1,28
20:44:42,45.2,20
20:44:44,55.3,0
20:44:46,45.4,1
20:44:48,72.1,0
20:44:50,55.4,0
20:44:52,38.4,1
20:44:54,49.5,0
20:44:56,72.1,3
20:44:58,71.3,5
20:45:00,97.0,3
20:45:02,90.0,22
20:45:04,70.0,23
20:45:06,81.3,24
20:45:08,67.6,24
20:45:10,76.9,21
20:45:12,59.1,20
20:45:14,71.3,21
20:45:16,52.6,21
20:45:18,47.5,21
20:45:20,48.2,21
20:45:22,55.3,21
20:45:24,47.6,20
20:45:26,43.8,20
20:45:28,56.2,21
20:45:30,60.7,21
20:45:32,94.3,18
20:45:34,40.0,20
20:45:36,55.0,19
20:45:38,48.3,21
20:45:40,67.7,20
20:45:42,74.9,21
20:45:44,68.6,23
20:45:46,69.7,24
20:45:48,70.8,24
20:45:50,76.5,39
20:45:52,61.8,45
20:45:54,56.0,39
20:45:56,83.3,34
20:45:58,93.5,30
20:46:00,99.2,26
